age,sex,height_cm,start_weight_kg,target_weight_kg,duration_weeks,start_bmi,target_bmi,avg_calorie_intake,avg_calorie_burn,main_exercise
56,Female,174.2,78.7,64.7,37.8,26,21.3,1605,204,Running 3x/week
21,Female,164.6,77.6,73,9.5,28.6,26.9,1986,524,HIIT 3x/week
28,Male,180.6,102.5,90.2,42,31.4,27.6,2718,268,Running 3x/week
47,Male,184.2,114.3,99.8,47,33.7,29.4,2705,464,Cycling 4x/week
66,Male,165.2,65.3,59.5,11.7,23.9,21.8,1734,204,Cycling 4x/week
20,Female,164.1,86.9,81.5,15.3,32.3,30.3,1955,195,Running 3x/week
63,Female,155.5,64.7,55.1,19.9,26.8,22.8,1426,320,Running 3x/week
28,Male,163.8,87.4,72.5,45.3,32.6,27,2141,396,Swimming 2x/week
25,Male,166.1,82.3,70.6,25.6,29.9,25.6,2334,200,Cycling 4x/week
51,Female,168,86.5,69.4,53.1,30.6,24.6,1843,400,Swimming 2x/week
18,Male,176.7,95.5,85.1,16.4,30.6,27.3,2790,217,Swimming 2x/week
23,Male,182.9,111.8,99,37.9,33.4,29.6,2923,297,Running 3x/week
50,Male,167.3,71.9,61.5,17.1,25.7,22,1709,639,HIIT 3x/week
31,Male,169.4,64.5,53.6,21.4,22.5,18.7,1951,602,Running 3x/week
31,Female,151.9,80.5,73.9,18.6,34.9,32,1934,388,Swimming 2x/week
59,Female,152.4,67.3,54.8,43.7,29,23.6,1428,252,Cycling 4x/week
18,Male,175.5,93.2,78.8,48.3,30.2,25.6,2486,447,Gym 3x/week
39,Female,170.4,74.9,68,16.3,25.8,23.4,1779,285,Gym 3x/week
32,Female,167.9,89.3,82.6,17.5,31.7,29.3,2146,385,Running 3x/week
36,Male,175,103.8,85.4,34.7,33.9,27.9,2752,370,Gym 3x/week
49,Male,169.7,77.3,68.9,25.7,26.8,23.9,1855,280,Gym 3x/week
29,Female,155,65.2,54.4,34.9,27.1,22.6,1629,475,Running 3x/week
34,Male,181.1,90.6,85.9,12.8,27.6,26.2,2591,347,Swimming 2x/week
47,Female,154.9,70.3,62.6,13,29.3,26.1,1512,288,Running 3x/week
67,Female,166,84.8,73.7,17.9,30.8,26.7,1645,551,Cycling 4x/week
28,Female,173.8,104.7,92.9,25.3,34.6,30.8,2118,251,Running 3x/week
46,Female,173.9,82.8,75.2,17.4,27.4,24.9,1828,389,Running 3x/week
32,Male,167.4,67.9,61.8,11.8,24.2,22,1825,537,HIIT 3x/week
21,Male,184.3,98.3,86.8,30,29,25.6,2911,538,HIIT 3x/week
52,Male,169.3,68.8,56.1,28.6,24,19.6,1618,374,Running 3x/week
69,Female,159.5,77.8,68.9,23.7,30.6,27.1,1709,476,Swimming 2x/week
44,Male,164.4,66.1,53.9,33.2,24.5,19.9,1752,417,Swimming 2x/week
53,Male,170.9,66.1,59.5,11.4,22.6,20.4,1764,376,Swimming 2x/week
33,Male,167.5,77,62.5,25.9,27.5,22.3,1931,423,Gym 3x/week
34,Male,163.3,71.1,66.2,13.8,26.6,24.8,2086,152,Swimming 2x/week
56,Female,163.9,62.7,51.2,18.3,23.3,19,1457,376,Gym 3x/week
50,Female,161.1,79.3,70.9,18,30.5,27.3,1892,482,HIIT 3x/week
67,Female,164.2,78.1,72.3,19.4,29,26.8,1698,538,Gym 3x/week
70,Male,178.4,79.9,66.2,45.3,25.1,20.8,1942,155,Running 3x/week
66,Male,175.2,98.2,79.3,40.7,32,25.8,2503,325,Cycling 4x/week
50,Female,167.2,82.5,71.6,38.1,29.5,25.6,1810,615,Cycling 4x/week
39,Male,184.4,96,80.8,44.5,28.2,23.8,2401,291,Cycling 4x/week
19,Female,153.5,67.7,60.1,11.6,28.7,25.5,1680,391,Gym 3x/week
24,Female,155.6,71.2,58.7,43.5,29.4,24.3,1728,180,Swimming 2x/week
64,Female,166.3,85.5,74.9,31.9,30.9,27.1,1682,203,Running 3x/week
70,Male,183.9,83.1,70.2,41.1,24.6,20.8,1911,556,Running 3x/week
42,Female,154.4,79.6,73.5,14.7,33.4,30.8,1881,560,Cycling 4x/week
27,Female,169.4,74.2,61.5,21.4,25.9,21.4,1751,496,Swimming 2x/week
34,Female,163.5,60.7,54.2,21.2,22.7,20.3,1730,177,HIIT 3x/week
60,Male,169.7,78.7,65.4,24.5,27.3,22.7,2049,210,Running 3x/week
53,Female,154.7,58,51.7,16.7,24.2,21.6,1510,280,Running 3x/week
26,Male,184.9,84.1,72.4,19.3,24.6,21.2,2441,408,Swimming 2x/week
44,Male,174.5,79.3,73.3,10.7,26.1,24.1,2001,635,Gym 3x/week
57,Female,159,56.5,49.3,14.2,22.4,19.5,1291,569,Running 3x/week
48,Female,161.3,84.7,77.7,16.7,32.5,29.9,1682,588,Gym 3x/week
31,Male,164.4,83,75.2,14.4,30.7,27.8,2220,400,Gym 3x/week
45,Male,181.7,78.5,72.8,18.8,23.8,22,1946,527,Gym 3x/week
20,Female,170.1,84.4,72.3,22.6,29.2,25,1969,232,Cycling 4x/week
48,Male,166.2,95.2,83.8,23,34.4,30.3,2186,650,HIIT 3x/week
69,Male,177.5,88.6,81.6,24.1,28.1,25.9,2223,592,Gym 3x/week
48,Female,158.4,68.4,58.5,22.1,27.3,23.3,1691,337,Cycling 4x/week
33,Male,165.4,63.6,56.8,22.9,23.2,20.8,1722,357,HIIT 3x/week
37,Female,159.2,81.1,73.8,16.3,32,29.1,1828,559,Running 3x/week
31,Male,183,113.1,107.4,17.8,33.8,32.1,3155,281,Cycling 4x/week
47,Male,185.2,113,90.7,64.1,33,26.5,3018,277,Running 3x/week
40,Male,186.5,106.9,93.9,21.1,30.7,27,2886,374,Running 3x/week
52,Male,168.3,90.5,86,9.1,32,30.4,2122,465,HIIT 3x/week
58,Male,169.3,71,57.1,44.4,24.8,19.9,1891,334,HIIT 3x/week
48,Female,162.7,74.4,68.7,15.4,28.1,26,1758,223,Gym 3x/week
49,Male,163.3,68.1,63.9,7.2,25.5,23.9,1798,209,HIIT 3x/week
32,Female,164.6,84.1,74.8,22,31,27.6,1787,433,HIIT 3x/week
50,Male,179.2,93.2,76.8,25.4,29,23.9,2282,531,Cycling 4x/week
54,Male,182.9,88.2,82.4,18.8,26.4,24.6,2247,285,Running 3x/week
31,Male,171.5,92.5,75.5,36.5,31.5,25.7,2597,597,Swimming 2x/week
66,Male,169.7,92.7,82.6,24.7,32.2,28.7,2086,158,Cycling 4x/week
66,Female,167.5,80.6,76.5,6.7,28.7,27.3,1633,500,Running 3x/week
50,Male,179.1,72.5,64.2,22.5,22.6,20,2078,321,Cycling 4x/week
46,Female,166.4,76.8,62.8,45.9,27.7,22.7,1577,205,Swimming 2x/week
26,Male,164.2,76.5,62.9,33.4,28.4,23.3,1950,642,HIIT 3x/week
35,Female,155.6,66.8,55.7,36.9,27.6,23,1467,184,Gym 3x/week
31,Male,172.4,95.6,83.4,18.6,32.2,28.1,2565,626,Swimming 2x/week
23,Female,174.6,73,62.1,30.7,23.9,20.4,1790,539,Running 3x/week
30,Female,166.6,93.6,78.7,50.4,33.7,28.4,1886,518,HIIT 3x/week
31,Female,161,90.5,75.3,49.9,34.9,29.1,2096,495,Cycling 4x/week
70,Male,177.3,103.9,90.8,37.8,33,28.9,2394,555,Cycling 4x/week
47,Male,163.1,81.4,76.3,17.7,30.6,28.7,2230,171,Cycling 4x/week
43,Male,168.4,84.6,75.4,15,29.8,26.6,2205,425,Swimming 2x/week
35,Male,181.3,82.1,76.9,9.4,25,23.4,2142,390,HIIT 3x/week
59,Female,171.2,99.6,87.3,24.2,34,29.8,2022,386,Cycling 4x/week
45,Male,168.9,99.4,90.3,31.3,34.8,31.7,2365,506,Gym 3x/week
19,Female,156.7,58.1,55,7,23.7,22.4,1747,279,Gym 3x/week
67,Male,173.3,88.3,76.7,25.5,29.4,25.6,2149,174,Gym 3x/week
62,Female,166.9,69.3,65.1,6.4,24.9,23.4,1691,629,HIIT 3x/week
49,Male,167.1,89.3,73.5,43.1,32,26.3,2135,444,Cycling 4x/week
59,Male,181.8,94.3,83.5,21.7,28.5,25.3,2154,474,Swimming 2x/week
58,Female,155.2,70.8,64.2,23.2,29.4,26.6,1636,484,Running 3x/week
38,Female,169.7,72.1,63.8,26,25,22.2,1562,289,HIIT 3x/week
60,Female,169,70.4,63,20.5,24.6,22.1,1359,309,HIIT 3x/week
69,Female,168.7,94.5,86.1,18,33.2,30.3,1939,178,HIIT 3x/week
36,Male,173.8,94.9,79.2,30.2,31.4,26.2,2549,307,Gym 3x/week
27,Female,162.2,91,82.5,23.1,34.6,31.4,2016,311,Gym 3x/week
36,Female,172.2,85.4,76.4,20.9,28.8,25.8,2004,271,Gym 3x/week
39,Male,180.3,74.2,67.7,18.9,22.8,20.8,1958,375,Gym 3x/week
47,Male,166.2,70.6,63.4,12.4,25.6,22.9,1804,419,HIIT 3x/week
44,Male,174.5,100.7,92.6,21.3,33.1,30.4,2348,624,HIIT 3x/week
48,Female,163.4,65.2,53,36.1,24.4,19.9,1672,465,Cycling 4x/week
54,Female,175,103.3,88.9,42.7,33.7,29,2094,235,Swimming 2x/week
23,Male,175.7,74.9,67.8,24,24.3,22,2292,255,Running 3x/week
57,Male,164.9,77.9,66.7,24.5,28.7,24.5,2037,605,Running 3x/week
67,Male,164.9,73,62.1,23.9,26.8,22.8,1770,470,HIIT 3x/week
51,Female,174.6,89.5,74.7,42.1,29.4,24.5,1768,550,HIIT 3x/week
43,Female,168.9,75.5,62.9,33.8,26.4,22,1919,265,Gym 3x/week
38,Female,168.4,77.6,62.3,48.6,27.4,22,1637,505,Running 3x/week
65,Female,166.3,66.7,56.3,19.9,24.1,20.4,1419,563,HIIT 3x/week
39,Female,165.1,68.6,63,13.8,25.2,23.1,1797,599,Cycling 4x/week
52,Female,151.6,64.6,60.6,8.2,28.1,26.4,1386,448,Cycling 4x/week
38,Male,165.7,83.2,77.8,10.2,30.3,28.3,2223,239,HIIT 3x/week
46,Male,171.5,74.8,66.6,13,25.4,22.6,1882,497,Running 3x/week
56,Female,169.4,89,78.5,22,31,27.4,2021,525,Running 3x/week
23,Male,167.9,69.8,59.1,24.4,24.7,21,1851,527,Swimming 2x/week
70,Female,165.1,89.4,83,12.5,32.8,30.4,1773,624,Swimming 2x/week
39,Female,170,81.2,70.8,33.5,28.1,24.5,1878,631,Running 3x/week
40,Male,183.7,93.3,86.5,20.5,27.6,25.6,2483,369,Running 3x/week
37,Female,153.4,75.9,67.4,13.6,32.2,28.6,1790,624,Cycling 4x/week
65,Male,168.4,87.3,72.8,50.2,30.8,25.7,1969,497,Gym 3x/week
43,Female,160.3,77,66.3,16,30,25.8,1808,219,HIIT 3x/week
64,Male,185.4,104.7,88.3,34.2,30.4,25.7,2401,613,Cycling 4x/week
19,Female,164.9,94.6,84.2,19,34.8,31,1994,270,Running 3x/week
25,Female,152,71,66.5,9,30.7,28.8,1855,186,HIIT 3x/week
34,Female,156.2,74.5,66.5,16.7,30.5,27.3,1603,418,HIIT 3x/week
41,Female,170.8,76.9,65,32.8,26.4,22.3,1752,344,Gym 3x/week
37,Female,168,65.1,55.1,34,23.1,19.5,1788,441,Running 3x/week
66,Female,162.5,69.2,60.1,20.3,26.2,22.8,1508,408,Cycling 4x/week
48,Female,169.7,72.7,58.9,38.3,25.2,20.5,1766,375,Gym 3x/week
27,Female,168.5,73.9,62.5,25.5,26,22,1628,286,Running 3x/week
63,Female,152.8,68.7,55.7,41,29.4,23.8,1559,319,Running 3x/week
61,Male,174.5,92,80.5,25.8,30.2,26.4,2334,161,Cycling 4x/week
65,Male,164.6,65.6,59.4,12.5,24.2,21.9,1669,317,Running 3x/week
26,Female,165.5,61.9,49.9,18.6,22.6,18.2,1787,467,HIIT 3x/week
50,Female,164.6,83.4,72.7,18.3,30.8,26.8,1633,282,Swimming 2x/week
67,Female,160.5,63,58.7,9.6,24.5,22.8,1460,586,Running 3x/week
46,Female,174.8,92.7,75.5,45.5,30.3,24.7,1951,386,Gym 3x/week
46,Male,184.8,104.6,94.1,22.8,30.6,27.5,2732,622,HIIT 3x/week
69,Male,175.1,70.5,63,13.7,23,20.5,1542,549,Gym 3x/week
51,Male,169.9,97.8,85.6,40.6,33.9,29.6,2573,275,Cycling 4x/week
58,Female,174.3,93.2,86.5,22.7,30.7,28.5,2059,217,Swimming 2x/week
40,Female,152.3,63.6,51.6,38.4,27.4,22.2,1326,195,HIIT 3x/week
60,Male,165.7,77,72.5,13.5,28.1,26.4,1794,289,Running 3x/week
31,Female,174.4,91.2,74.6,38.6,30,24.5,1959,468,Cycling 4x/week
44,Male,168.2,65.9,58.5,16.5,23.3,20.7,1611,418,Gym 3x/week
27,Female,152.5,55.8,49.9,9.9,24,21.5,1288,421,Running 3x/week
62,Female,170.1,96.8,83.2,34.4,33.5,28.8,2020,372,Running 3x/week
